,城市,常住人口,户籍人口,2010流动人口,2010流动人口占比
46,  葫芦岛市,281.0176589,282.27,-1.25234107,-0.45%
47,  长春市,754.5261833,756.5,-1.97381665,-0.26%
48,  吉林市,433.8772229,437.42,-3.542777087,-0.82%
49,  四平市,338.2960242,339.12,-0.823975755,-0.24%
50,  辽源市,123.7783505,123.78,-0.001649485,0.00%
51,  通化市,226.99461,226.81,0.184609991,0.08%
52,  白山市,129.7089653,129.72,-0.011034734,-0.01%
53,  松原市,286.6969224,288.33,-1.63307756,-0.57%
54,  白城市,203.0352792,203.17,-0.134720754,-0.07%
55,  哈尔滨市,990.7150969,991.6,-0.884903129,-0.09%
56,  齐齐哈尔市,543.1153846,571.56,-28.44461538,-5.24%
57,  鸡西市,190.7684262,190.71,0.058426161,0.03%
58,  鹤岗市,109.317035,109.41,-0.092965044,-0.09%
59,  大庆市,278.6984803,280.17,-1.471519693,-0.53%
60,  伊春市,127.4660754,127.31,0.156075388,0.12%
61,  佳木斯市,251.9568484,252.26,-0.303151642,-0.12%
62,  七台河市,91.49612282,92.77,-1.273877183,-1.39%
63,  牡丹江市,277.8912784,270.57,7.321278428,2.63%
64,  黑河市,174.0486726,174.21,-0.161327434,-0.09%
65,  绥化市,578.6257282,580.15,-1.524271798,-0.26%
66,上海市,1904.87916,1400.7,504.1791604,26.47%
67,  南京市,627.123386,629.77,-2.646614039,-0.42%
68,  无锡市,464.929912,465.65,-0.720088018,-0.15%
69,  徐州市,952.2549801,957.61,-5.35501992,-0.56%
70,  常州市,359.2817018,359.82,-0.538298212,-0.15%
71,  苏州市,631.5179701,633.29,-1.772029943,-0.28%
72,  南通市,763.1910632,762.66,0.531063174,0.07%
73,  连云港市,489.4326278,490.64,-1.207372198,-0.25%
74,  淮安市,535.5437792,534.16,1.383779242,0.26%
75,  盐城市,812.0472741,812.37,-0.322725886,-0.04%
76,  扬州市,459.2989015,458.8,0.49890148,0.11%
77,  镇江市,269.3248663,269.88,-0.55513369,-0.21%
78,  泰州市,500.7899656,503.98,-3.190034373,-0.64%
79,  宿迁市,537.5809115,540.6,-3.019088486,-0.56%
80,  杭州市,803.30207,683.38,119.92207,14.93%
81,  宁波市,712.9944829,571.02,141.9744829,19.91%
82,  温州市,775.5446177,779.11,-3.565382349,-0.46%
83,  嘉兴市,427.1968016,339.6,87.59680164,20.51%
84,  湖州市,283.5009134,259.17,24.33091342,8.58%
85,  绍兴市,437.3988143,437.74,-0.341185654,-0.08%
86,  金华市,517.8937132,463.68,54.21371319,10.47%
87,  衢州市,249.3532853,249.86,-0.506714689,-0.20%
88,  舟山市,96.76847282,96.77,-0.001527183,0.00%
89,  台州市,574.9536194,578.47,-3.516380569,-0.61%
90,  丽水市,230.4457562,257.39,-26.94424379,-11.69%
91,  合肥市,506.0106396,491.43,14.58063958,2.88%
92,  芜湖市,230.4429258,230.1,0.342925757,0.15%
93,  蚌埠市,359.4453827,360.64,-1.194617307,-0.33%
94,  淮南市,229.4974965,242.52,-13.0225035,-5.67%
95,  马鞍山市,128.3545365,128.61,-0.255463482,-0.20%
96,  淮北市,205.5003316,217.74,-12.23966844,-5.96%
97,  铜陵市,73.5015503,73.99,-0.488449695,-0.66%
98,  安庆市,558.0044892,615.88,-57.87551082,-10.37%
99,  黄山市,148.4785003,148.6,-0.121499694,-0.08%
100,  滁州市,411.5015712,450.25,-38.7484288,-9.42%
101,  阜阳市,833.9728321,1000.5,-166.5271679,-19.97%
102,  宿州市,634.0605208,635.19,-1.12947924,-0.18%
103,  巢湖市,431.0771987,458.6,-27.5228013,-6.38%
104,  六安市,606.021791,705.89,-99.86820899,-16.48%
105,  亳州市,509.5297865,596.93,-87.40021352,-17.15%
106,  池州市,142.0003469,159.88,-17.87965308,-12.59%
107,  宣城市,258.0004769,277.77,-19.76952307,-7.66%
108,  福州市,685.0045508,637.92,47.08455084,6.87%
109,  厦门市,251.9996083,177,74.99960834,29.76%
110,  莆田市,285.0037923,319.61,-34.60620775,-12.14%
111,  三明市,263.4983207,271.06,-7.561679289,-2.87%
112,  泉州市,782.4968262,680.85,101.6468262,12.99%
113,  漳州市,478.4964052,471.77,6.726405215,1.41%
114,  南平市,289.5046803,310.1,-20.5953197,-7.11%
115,  龙岩市,277.5042557,293.35,-15.84574432,-5.71%
116,  宁德市,303.5009914,335.95,-32.44900862,-10.69%
117,  南昌市,463.2082483,497.33,-34.12175175,-7.37%
118,  景德镇市,157.0871235,160.22,-3.1328765,-1.99%
119,  萍乡市,185.7995151,186.93,-1.130484902,-0.61%
120,  九江市,477.2466131,491.03,-13.78338691,-2.89%
121,  新余市,113.6400507,124.61,-10.9699493,-9.65%
122,  鹰潭市,111.1408292,119.82,-8.679170778,-7.81%
123,  赣州市,839.7723418,896.99,-57.21765824,-6.81%
124,  吉安市,481.2628327,489.1,-7.83716734,-1.63%
125,  宜春市,548.392983,549.92,-1.527016994,-0.28%
126,  抚州市,389.1590962,399.14,-9.980903815,-2.56%
127,  上饶市,651.3795601,728.27,-76.89043991,-11.80%
128,  济南市,665.2700691,603.27,62.00006908,9.32%
129,  青岛市,847.8222564,762.92,84.90225638,10.01%
130,  淄博市,450.9174058,421.41,29.50740582,6.54%
131,  枣庄市,365.7842682,386.79,-21.00573185,-5.74%
132,  东营市,201.1302139,184.59,16.54021393,8.22%
133,  烟台市,702.6536074,652,50.65360743,7.21%
134,  潍坊市,892.356121,867.85,24.50612104,2.75%
135,  济宁市,799.9320919,831.31,-31.37790807,-3.92%
136,  泰安市,546.8248606,555.83,-9.005139442,-1.65%
137,  威海市,280.2861034,252.97,27.31610337,9.75%
138,  日照市,274.9228959,285.76,-10.83710407,-3.94%
139,  莱芜市,127.6993524,126.38,1.319352426,1.03%
140,  临沂市,986.0887385,1041.54,-55.4512615,-5.62%
141,  德州市,526.3082793,569.01,-42.70172074,-8.11%
142,  聊城市,559.0177232,590.89,-31.87227684,-5.70%
143,  滨州市,369.4193135,377.49,-8.070686496,-2.18%
144,  菏泽市,821.7966349,939.44,-117.6433651,-14.32%
145,  郑州市,748.0059913,731.47,16.53599127,2.21%
146,  开封市,469.9321103,527.14,-57.20788969,-12.17%
147,  洛阳市,642.1188964,694.89,-52.77110363,-8.22%
148,  平顶山市,489.9687201,532.36,-42.39127987,-8.65%
149,  安阳市,521.3090648,573.16,-51.85093521,-9.95%
150,  鹤壁市,143.3297596,159.79,-16.46024044,-11.48%
151,  新乡市,551.3450978,597.25,-45.90490218,-8.33%
152,  焦作市,341.6965812,364.86,-23.1634188,-6.78%
153,  濮阳市,350.9052771,404.22,-53.31472289,-15.19%
154,  许昌市,431.1385595,485.21,-54.0714405,-12.54%
155,  漯河市,248.8549439,276.07,-27.21505615,-10.94%
156,  三门峡市,222.4794694,229.56,-7.080530598,-3.18%
157,  南阳市,1008.702359,1167.51,-158.8076408,-15.74%
158,  商丘市,779.0496126,910.87,-131.8203874,-16.92%
159,  信阳市,674.1635704,860.99,-186.8264296,-27.71%
160,  周口市,1000.442483,1206.76,-206.3175171,-20.62%
161,  驻马店市,769.153314,873.13,-103.976686,-13.52%
162,  武汉市,903.4999218,835.55,67.94992179,7.52%
163,  黄石市,242.6103565,258.56,-15.94964346,-6.57%
164,  十堰市,323.8084043,353.22,-29.41159565,-9.08%
165,  宜昌市,404.2222646,401.37,2.852264583,0.71%
166,  襄樊市,544.1574917,588.88,-44.72250827,-8.22%
167,  鄂州市,103.3893644,107.24,-3.85063558,-3.72%
168,  荆门市,284.7569991,301.05,-16.29300085,-5.72%
169,  孝感市,468.3836837,528.73,-60.3463163,-12.88%
170,  荆州市,647.3088852,662.05,-14.74111476,-2.28%
171,  黄冈市,668.1826501,739.61,-71.42734993,-10.69%
172,  咸宁市,251.6303335,290.63,-38.99966648,-15.50%
173,  随州市,220.1468032,257.77,-37.62319683,-17.09%
174,  长沙市,661.3853939,651.59,9.795393854,1.48%
175,  株洲市,372.2014454,382.8,-10.59855462,-2.85%
176,  湘潭市,277.8795099,295.26,-17.38049008,-6.25%
177,  衡阳市,675.1919764,739.8,-64.60802359,-9.57%
178,  邵阳市,678.2146325,764.14,-85.92536751,-12.67%
179,  岳阳市,518.3562464,558.68,-40.32375357,-7.78%
180,  常德市,550.8670875,616.69,-65.82291252,-11.95%
181,  张家界市,150.2526448,165.27,-15.01735518,-9.99%
182,  益阳市,420.4521356,470.55,-50.0978644,-11.92%
183,  郴州市,442.4305053,473.86,-31.42949473,-7.10%
184,  永州市,513.2195494,586.66,-73.44045065,-14.31%
185,  怀化市,464.6491986,508.88,-44.23080143,-9.52%
186,  娄底市,393.1872838,420.53,-27.3427162,-6.95%
187,  广州市,1025.820424,794.62,231.2004239,22.54%
188,  韶关市,296.0522277,325.54,-29.48777226,-9.96%
189,  深圳市,884.0294054,245.96,638.0694054,72.18%
190,  珠海市,148.6139219,102.65,45.96392188,30.93%
191,  汕头市,508.152416,510.73,-2.577584008,-0.51%
192,  佛山市,597.4886845,367.63,229.8586845,38.47%
193,  江门市,417.2131367,391.52,25.69313669,6.16%
194,  湛江市,694.8205683,763.14,-68.31943173,-9.83%
195,  茂名市,616.2730367,735.31,-119.0369633,-19.32%
196,  肇庆市,384.5660495,413.69,-29.12395048,-7.57%
197,  惠州市,394.9587091,324.36,70.59870907,17.87%
198,  梅州市,413.5101131,507.36,-93.84988692,-22.70%
199,  汕尾市,291.8809399,340.61,-48.72906009,-16.69%
200,  河源市,291.1369902,348.98,-57.84300976,-19.87%
201,  阳江市,238.2600994,275.67,-37.40990059,-15.70%
202,  清远市,377.941001,408.82,-30.87899899,-8.17%
203,  东莞市,664.9907599,178.73,486.2607599,73.12%
204,  中山市,251.4141307,147.86,103.5541307,41.19%
205,  潮州市,257.0427172,257.89,-0.847282801,-0.33%
206,  揭阳市,576.3768628,649.11,-72.73313723,-12.62%
207,  云浮市,241.317666,275.8,-34.48233399,-14.29%
208,  南宁市,694.7889724,697.9,-3.111027569,-0.45%
209,  柳州市,369.7478703,367.56,2.187870347,0.59%
210,  桂林市,509.9726183,511.63,-1.657381662,-0.32%
211,  梧州市,307.0190173,316.18,-9.160982675,-2.98%
212,  北海市,158.1203902,160.18,-2.059609814,-1.30%
213,  防城港市,84.80396595,86.92,-2.116034052,-2.50%
214,  钦州市,324.5716508,371.19,-46.61834916,-14.36%
215,  贵港市,428.5199217,509.69,-81.17007832,-18.94%
216,  玉林市,568.0614195,653.41,-85.34858045,-15.02%
217,  百色市,364.533446,398.57,-34.03655397,-9.34%
218,  贺州市,215.3432127,223.9,-8.55678735,-3.97%
219,  河池市,384.7334405,409.55,-24.81655945,-6.45%
220,  来宾市,230.8625742,254.5,-23.63742577,-10.24%
221,  崇左市,218.6304863,241.96,-23.32951368,-10.67%
222,  海口市,185.6754532,158.24,27.43545324,14.78%
223,  三亚市,48.48106294,55.71,-7.228937063,-14.91%
224,重庆市,2849.044503,3275.61,-426.5654974,-14.97%
225,  成都市,1278.603777,1139.63,138.9737768,10.87%
226,  自贡市,280.9766826,328.49,-47.51331741,-16.91%
227,  攀枝花市,115.9879109,111.58,4.407910946,3.80%
228,  泸州市,432.3471415,497.15,-64.80285851,-14.99%
229,  德阳市,365.2552454,388.4,-23.14475459,-6.34%
230,  绵阳市,495.9583963,544.65,-48.69160368,-9.82%
231,  广元市,27321.24242,312.73,27008.51242,98.86%
232,  遂宁市,357.2040569,387.05,-29.84594313,-8.36%
233,  内江市,395.6859965,425.61,-29.92400353,-7.56%
234,  乐山市,336.8067359,353.22,-16.41326405,-4.87%
235,  南充市,624.9100346,753.51,-128.5999654,-20.58%
236,  眉山市,300.0370108,348.07,-48.03298923,-16.01%
237,  宜宾市,445.944441,534.93,-88.98555899,-19.95%
238,  广安市,370.952883,470.02,-99.06711697,-26.71%
239,  达州市,573.0001679,657.56,-84.55983214,-14.76%
240,  雅安市,152.5232973,155.15,-2.626702737,-1.72%
241,  巴中市,315.7341017,401.18,-85.44589825,-27.06%
242,  资阳市,423.6777901,501.35,-77.67220989,-18.33%
243,  贵阳市,395.337889,367.08,28.25788896,7.15%
244,  六盘水市,298.2634863,319.35,-21.08651366,-7.07%
245,  遵义市,686.8405759,750.86,-64.01942413,-9.32%
246,  安顺市,256.4925295,273.49,-16.99747051,-6.63%
247,  昆明市,700.3201038,533.99,166.3301038,23.75%
248,  曲靖市,581.79332,616.22,-34.42668003,-5.92%
249,  玉溪市,228.1480616,214.36,13.7880616,6.04%
250,  保山市,247.0514935,250.23,-3.178506465,-1.29%
251,  昭通市,531.8700415,561.04,-29.16995851,-5.48%
252,  丽江市,122.350806,120.53,1.820806043,1.49%
253,  思茅市,258.3897229,249.64,8.749722934,3.39%
254,  临沧市,238.9098814,239.6,-0.690118577,-0.29%
255,  西安市,840.4800839,781.67,58.81008392,7.00%
256,  铜川市,84.03062325,85.31,-1.279376752,-1.52%
257,  宝鸡市,374.6929295,378.78,-4.087070519,-1.09%
258,  咸阳市,501.0040737,516.38,-15.37592633,-3.07%
259,  渭南市,543.1253625,556.86,-13.7346375,-2.53%
260,  延安市,217.1447313,227.51,-10.36526865,-4.77%
261,  汉中市,351.2286632,381.55,-30.32133683,-8.63%
262,  榆林市,334.731918,359.11,-24.37808204,-7.28%
263,  安康市,265.8785417,303.57,-37.69145827,-14.18%
264,  商洛市,239.2083732,243.05,-3.84162682,-1.61%
265,  兰州市,331.8456494,323.59,8.255649369,2.49%
266,  嘉峪关市,21.03513084,20.87,0.165130837,0.79%
267,  金昌市,47.43044325,47.57,-0.139556746,-0.29%
268,  白银市,175.4255207,179.55,-4.124479339,-2.35%
269,  天水市,342.8299051,359.69,-16.86009494,-4.92%
270,  武威市,191.488081,198.93,-7.441918951,-3.89%
271,  张掖市,128.4875911,130.37,-1.882408857,-1.47%
272,  平凉市,219.8632431,229.77,-9.906756939,-4.51%
273,  酒泉市,101.8811247,96.42,5.461124651,5.36%
274,  庆阳市,252.4188591,260.95,-8.5311409,-3.38%
275,  定西市,293.7862391,299.43,-5.643760855,-1.92%
276,  陇南市,262.2328666,279.17,-16.93713338,-6.46%
277,  西宁市,219.1446753,193.94,25.20467527,11.50%
278,  银川市,167.8078252,155.55,12.25782515,7.30%
279,  石嘴山市,73.08504723,74.52,-1.434952767,-1.96%
280,  吴忠市,136.4463447,137.21,-0.763655314,-0.56%
281,  固原市,149.2581905,150.14,-0.88180954,-0.59%
282,  中卫市,113.3251962,116.65,-3.324803836,-2.93%
283,  乌鲁木齐市,284.3204489,241.19,43.13044888,15.17%
284,  克拉玛依市,55.20585057,39.35,15.85585057,28.72%
