,城市,常住人口,户籍人口,2013流动人口,2013流动人口
97,  南平市,263.9998941,313.9,-49.90010594,-18.90%
98,  龙岩市,256.5123717,297.7,-41.18762829,-16.06%
99,  宁德市,283.5002499,342.3,-58.7997501,-20.74%
100,  南昌市,511.0318658,507.9,3.131865792,0.61%
101,  景德镇市,160.4690557,166.7,-6.230944293,-3.88%
102,  萍乡市,187.0718369,192.4,-5.328163119,-2.85%
103,  九江市,476.7851603,508.6,-31.81483968,-6.67%
104,  新余市,114.8981817,120.5,-5.601818282,-4.88%
105,  鹰潭市,113.5891776,124,-10.4108224,-9.17%
106,  赣州市,844.0021821,926.7,-82.69781794,-9.80%
107,  吉安市,539.2609861,505.5,33.76098607,6.26%
108,  宜春市,545.8761759,573.1,-27.22382411,-4.99%
109,  抚州市,394.3408852,417.8,-23.45911481,-5.95%
110,  上饶市,663.3064423,760.3,-96.99355769,-14.62%
111,  济南市,691.7337999,609.2,82.5337999,11.93%
112,  青岛市,883.1773101,769.6,113.5773101,12.86%
113,  枣庄市,376.2362467,394.8,-18.56375326,-4.93%
114,  东营市,206.3798618,185.5,20.87986176,10.12%
115,  烟台市,697.9305423,650.3,47.63054234,6.82%
116,  潍坊市,918.5755821,878.9,39.67558206,4.32%
117,  济宁市,814.3418869,847.1,-32.75811311,-4.02%
118,  威海市,253.7070799,253.6,0.107079915,0.04%
119,  日照市,282.6628493,288.1,-5.437150739,-1.92%
120,  莱芜市,130.9653198,126.3,4.665319837,3.56%
121,  临沂市,1010.738728,1083.8,-73.06127214,-7.23%
122,  德州市,561.712415,577.5,-15.78758499,-2.81%
123,  聊城市,586.9767315,594.5,-7.523268531,-1.28%
124,  滨州市,377.9593847,380.9,-2.940615314,-0.78%
125,  菏泽市,832.8389637,957.3,-124.4610363,-14.94%
126,  郑州市,894.3479711,1072.5,-178.1520289,-19.92%
127,  开封市,465.6485611,544.4,-78.75143893,-16.91%
128,  洛阳市,657.8523259,709.7,-51.84767411,-7.88%
129,  平顶山市,492.3621791,545.6,-53.23782093,-10.81%
130,  安阳市,511.6565112,593,-81.34348877,-15.90%
131,  新乡市,566.3932443,617,-50.60675572,-8.93%
132,  焦作市,352.3466125,367.3,-14.95338754,-4.24%
133,  濮阳市,357.8862732,421.3,-63.41372677,-17.72%
134,  许昌市,429.6165169,494.2,-64.58348312,-15.03%
135,  漯河市,255.3983531,275,-19.60164686,-7.67%
136,  三门峡市,223.6391843,226.1,-2.460815744,-1.10%
137,  南阳市,1013.915793,1206.3,-192.3842069,-18.97%
138,  商丘市,734.2871407,934.1,-199.8128593,-27.21%
139,  信阳市,625.2832595,855.2,-229.9167405,-36.77%
140,  周口市,887.9655464,1229.2,-341.2344536,-38.43%
141,  驻马店市,701.0750817,899.2,-198.1249183,-28.26%
142,  武汉市,1006.997811,821.7,185.2978108,18.40%
143,  黄石市,243.7650751,261.5,-17.73492495,-7.28%
144,  十堰市,335.6678726,346,-10.33212743,-3.08%
145,  宜昌市,407.8368581,399,8.836858104,2.17%
146,  襄阳市,553.9353953,594,-40.06460469,-7.23%
147,  鄂州市,105.3523086,109.4,-4.047691382,-3.84%
148,  荆门市,288.2573242,302.3,-14.04267577,-4.87%
149,  孝感市,527.9258622,526.9,1.025862234,0.19%
150,  荆州市,571.9299923,663.3,-91.37000765,-15.98%
151,  黄冈市,620.6451613,748.2,-127.5548387,-20.55%
152,  咸宁市,247.1468936,297.9,-50.75310643,-20.54%
153,  随州市,217.3986673,256.9,-39.5013327,-18.17%
154,  长沙市,711.8683136,660.6,51.26831363,7.20%
155,  株洲市,389.3715486,395.8,-6.42845142,-1.65%
156,  湘潭市,277.2801358,291.8,-14.51986421,-5.24%
157,  衡阳市,718.2118277,800.2,-81.98817228,-11.42%
158,  邵阳市,713.877551,801.3,-87.42244898,-12.25%
159,  岳阳市,550.4195857,573,-22.58041433,-4.10%
160,  张家界市,149.6096302,170.1,-20.49036985,-13.70%
161,  益阳市,432.8344222,481.9,-49.0655778,-11.34%
162,  郴州市,461.9057172,509.8,-47.89428276,-10.37%
163,  永州市,523.5412323,620.3,-96.75876773,-18.48%
164,  怀化市,476.2904653,516.5,-40.20953468,-8.44%
165,  娄底市,380.2676831,437.8,-57.53231691,-15.13%
166,  广州市,1279.514224,822.3,457.2142245,35.73%
167,  韶关市,285.936534,326.5,-40.56346603,-14.19%
168,  深圳市,1050.740391,287.6,763.1403912,72.63%
169,  珠海市,157.5100502,106.6,50.91005017,32.32%
170,  汕头市,543.2556136,532.9,10.35561359,1.91%
171,  佛山市,724.6433009,377.7,346.9433009,47.88%
172,  江门市,447.4146045,391.8,55.61460455,12.43%
173,  湛江市,758.3142147,785.2,-26.88578533,-3.55%
174,  茂名市,592.5021421,748.9,-156.3978579,-26.40%
175,  肇庆市,396.6879069,427.6,-30.9120931,-7.79%
176,  惠州市,465.3843689,341.9,123.4843689,26.53%
177,  梅州市,428.1090387,521.4,-93.29096126,-21.79%
178,  汕尾市,296.1994856,347.2,-51.00051436,-17.22%
179,  河源市,299.6005064,355.1,-55.49949357,-18.52%
180,  阳江市,245.7427416,282.5,-36.75725842,-14.96%
181,  清远市,375.1947657,405.7,-30.50523426,-8.13%
182,  东莞市,852.0122271,187,665.0122271,78.05%
183,  中山市,314.8636217,152,162.8636217,51.73%
184,  潮州市,269.1811291,264.8,4.381129057,1.63%
185,  揭阳市,593.572497,673.9,-80.32750297,-13.53%
186,  云浮市,239.7841075,287,-47.21589245,-19.69%
187,  南宁市,712.4871773,713.5,-1.012822702,-0.14%
188,  柳州市,380.919887,372.3,8.619887017,2.26%
189,  桂林市,481.3839022,522.1,-40.71609777,-8.46%
190,  梧州市,291.8974161,329.5,-37.60258388,-12.88%
191,  防城港市,88.26561568,91.6,-3.334384319,-3.78%
192,  钦州市,312.1513523,391.7,-79.54864767,-25.48%
193,  贵港市,417.1628278,529.9,-112.7371722,-27.02%
194,  玉林市,555.9882958,691.9,-135.9117042,-24.45%
195,  百色市,350.6390733,408.6,-57.96092669,-16.53%
196,  贺州市,198.0578778,226.4,-28.34212219,-14.31%
197,  河池市,340.4566059,411.6,-71.14339414,-20.90%
198,  来宾市,212.6677832,260.3,-47.63221685,-22.40%
199,  海口市,211.9260237,161.6,50.32602371,23.75%
200,  三亚市,71.38042963,57.3,14.08042963,19.73%
201,重庆市,2932.003906,3343.4,-411.396094,-14.03%
202,  成都市,1412.422567,1173.3,239.122567,16.93%
203,  自贡市,269.862171,328.5,-58.63782902,-21.73%
204,  攀枝花市,122.5405772,111.9,10.64057724,8.68%
205,  泸州市,423.7586051,505.2,-81.44139491,-19.22%
206,  德阳市,356.1565169,391.5,-35.3434831,-9.92%
207,  绵阳市,497.6426671,545.4,-47.75733294,-9.60%
208,  广元市,251.6011703,311.7,-60.09882966,-23.89%
209,  遂宁市,326.3868854,376.1,-49.7131146,-15.23%
210,  内江市,371.3530997,426.6,-55.24690027,-14.88%
211,  南充市,629.2905582,759.6,-130.3094418,-20.71%
212,  眉山市,296.2454907,350.4,-54.15450932,-18.28%
213,  宜宾市,445.9925354,546.6,-100.6074646,-22.56%
214,  广安市,321.3254165,468.5,-147.1745835,-45.80%
215,  达州市,548.9302876,695.6,-146.6697124,-26.72%
216,  雅安市,152.178155,156.5,-4.321845013,-2.84%
217,  巴中市,330.2040937,390,-59.79590628,-18.11%
218,  资阳市,360.9278305,505.9,-144.9721695,-40.17%
219,  贵阳市,442.2464171,374.5,67.74641715,15.32%
220,  六盘水市,285.4475403,322.5,-37.05245971,-12.98%
221,  遵义市,610.8472797,771.4,-160.5527203,-26.28%
222,  安顺市,228.172059,284.4,-56.22794099,-24.64%
223,  毕节市,652.2276948,858,-205.7723052,-31.55%
224,  铜仁市,308.7210515,426.5,-117.7789485,-38.15%
225,  昆明市,650.9735602,543.5,107.4735602,16.51%
226,  曲靖市,591.7609146,637.4,-45.63908541,-7.71%
227,  玉溪市,232.3988429,214.1,18.29884286,7.87%
228,  保山市,253.2677794,255.6,-2.332220562,-0.92%
229,  昭通市,527.7324278,583.3,-55.56757219,-10.53%
230,  临沧市,245.5322065,236.4,9.132206455,3.72%
231,  西安市,853.3205644,796,57.32056444,6.72%
232,  铜川市,83.9495024,85.3,-1.350497604,-1.61%
233,  宝鸡市,373.1950253,383.9,-10.70497475,-2.87%
234,  咸阳市,492.0508411,527.9,-35.8491589,-7.29%
235,  渭南市,531.2879311,565.1,-33.81206889,-6.36%
236,  延安市,219.6108923,235.4,-15.78910775,-7.19%
237,  汉中市,341.6826662,384.3,-42.61733382,-12.47%
238,  榆林市,335.4668476,374.6,-39.1331524,-11.67%
239,  安康市,263.2206802,306,-42.77931984,-16.25%
240,  商洛市,233.9116981,248.8,-14.88830193,-6.36%
241,  兰州市,362.2045165,321.5,40.7045165,11.24%
242,  嘉峪关市,23.37899464,19.8,3.578994641,15.31%
243,  金昌市,46.66457043,46.7,-0.035429568,-0.08%
244,  天水市,327.860478,375.7,-47.83952196,-14.59%
245,  武威市,182.0685005,190,-7.931499547,-4.36%
246,  张掖市,120.6114692,130.8,-10.18853082,-8.45%
247,  平凉市,207.9250336,234,-26.07496636,-12.54%
248,  酒泉市,110.2479277,98.8,11.4479277,10.38%
249,  庆阳市,221.6580688,262.3,-40.64193116,-18.34%
250,  定西市,273.7171754,296.3,-22.58282457,-8.25%
251,  陇南市,256.5280963,284.9,-28.37190373,-11.06%
252,  西宁市,223.7697061,198.5,25.26970605,11.29%
253,  银川市,203.6043023,167.2,36.40430229,17.88%
254,  石嘴山市,73.78051326,74.2,-0.419486736,-0.57%
255,  吴忠市,130.3600513,141.6,-11.23994869,-8.62%
256,  固原市,125.5681116,154.2,-28.63188842,-22.80%
257,  中卫市,110.0083849,120,-9.991615084,-9.08%
258,  乌鲁木齐市,336.0001174,257.8,78.20011736,23.27%
259,  克拉玛依市,60.04424595,37.6,22.44424595,37.38%
