,城市,常住人口,户籍人口,2012流动人口,2012流动人口占比
78,  泰州市,462.3742724,507.1,-44.72572765,-9.67%
79,  杭州市,872.1710157,693.7,178.4710157,20.46%
80,  宁波市,761.9386475,576.4,185.5386475,24.35%
81,  温州市,792.5743068,798.4,-5.825693221,-0.74%
82,  嘉兴市,451.7833468,343.1,108.6833468,24.06%
83,  湖州市,289.6612421,261.1,28.56124207,9.86%
84,  绍兴市,439.4613558,440,-0.538644157,-0.12%
85,  金华市,537.6239146,469.1,68.52391461,12.75%
86,  衢州市,251.8957215,252.6,-0.704278514,-0.28%
87,  舟山市,96.87876888,97,-0.121231116,-0.13%
88,  台州市,598.6425855,586.8,11.84258547,1.98%
89,  丽水市,211.6950618,251.3,-39.60493821,-18.71%
90,  合肥市,748.8417108,706.1,42.74171077,5.71%
91,  芜湖市,384.7875624,385.4,-0.612437638,-0.16%
92,  蚌埠市,317.5060226,365.5,-47.99397737,-15.12%
93,  淮南市,233.4007895,245.6,-12.19921053,-5.23%
94,  马鞍山市,220.0349038,228.6,-8.565096154,-3.89%
95,  淮北市,211.4850414,221.8,-10.31495865,-4.88%
96,  铜陵市,72.69522232,74.2,-1.504777677,-2.07%
97,  安庆市,531.0531604,618.7,-87.64683965,-16.50%
98,  黄山市,148.0786491,148.1,-0.02135095,-0.01%
99,  滁州市,393.126144,452.9,-59.77385597,-15.20%
100,  阜阳市,761.6412248,1025.8,-264.1587752,-34.68%
101,  宿州市,535.9873756,649.1,-113.1126244,-21.10%
102,  六安市,562.8822158,709.6,-146.7177842,-26.07%
103,  亳州市,486.9856233,604.2,-117.2143767,-24.07%
104,  池州市,141.3885747,161.4,-20.01142532,-14.15%
105,  宣城市,254.7040971,279.4,-24.69590288,-9.70%
106,  福州市,716.4403283,649.4,67.04032827,9.36%
107,  厦门市,358.4980235,185.3,173.1980235,48.31%
108,  莆田市,278.5006627,326.5,-47.99933729,-17.23%
109,  三明市,250.4990491,273.4,-22.90095088,-9.14%
110,  泉州市,817.4727534,689.5,127.9727534,15.65%
111,  漳州市,482.5743293,479.2,3.374329303,0.70%
112,  南平市,264.7832717,313.4,-48.61672835,-18.36%
113,  龙岩市,255.8294682,295.1,-39.27053178,-15.35%
114,  宁德市,282.4012023,340,-57.59879767,-20.40%
115,  南昌市,507.1143466,505,2.114346604,0.42%
116,  景德镇市,159.4281923,164.6,-5.171807685,-3.24%
117,  萍乡市,186.1821216,190.3,-4.117878359,-2.21%
118,  九江市,474.7637923,502.4,-27.63620768,-5.82%
119,  新余市,114.3295283,119.4,-5.070471719,-4.43%
120,  鹰潭市,113.0189512,122,-8.981048792,-7.95%
121,  赣州市,840.5141239,918.3,-77.78587606,-9.25%
122,  吉安市,522.3184195,501.6,20.71841949,3.97%
123,  宜春市,543.8036624,566.9,-23.09633759,-4.25%
124,  抚州市,392.7152377,412,-19.28476226,-4.91%
125,  上饶市,660.5497532,750.2,-89.65024683,-13.57%
126,  济南市,685.1533952,606.6,78.55339522,11.47%
127,  青岛市,875.5078544,766.4,109.1078544,12.46%
128,  淄博市,454.4765573,423.8,30.6765573,6.75%
129,  枣庄市,374.0912902,394.2,-20.10870982,-5.38%
130,  东营市,204.5967082,186,18.59670823,9.09%
131,  烟台市,697.1909633,651.8,45.39096334,6.51%
132,  潍坊市,912.0696315,877.6,34.4696315,3.78%
133,  济宁市,810.7391755,847,-36.26082454,-4.47%
134,  泰安市,550.6117085,559.5,-8.888291517,-1.61%
135,  威海市,280.2790908,253.8,26.47909076,9.45%
136,  日照市,281.0045134,289,-7.995486633,-2.85%
137,  莱芜市,130.2343401,127,3.23434008,2.48%
138,  临沂市,1007.326473,1081,-73.67352652,-7.31%
139,  德州市,558.8626271,576,-17.13737287,-3.07%
140,  聊城市,582.2069886,604.2,-21.9930114,-3.78%
141,  滨州市,376.108782,380.7,-4.591217978,-1.22%
142,  菏泽市,830.3211352,966.5,-136.1788648,-16.40%
143,  郑州市,875.8852344,1010.1,-134.2147656,-15.32%
144,  开封市,466.837759,543.4,-76.56224099,-16.40%
145,  洛阳市,656.0408515,711.1,-55.0591485,-8.39%
146,  平顶山市,491.1551924,548.9,-57.74480762,-11.76%
147,  安阳市,516.0750191,590.9,-74.82498091,-14.50%
148,  鹤壁市,157.5793219,164.1,-6.520678148,-4.14%
149,  新乡市,568.519658,612.5,-43.98034201,-7.74%
150,  焦作市,353.5063589,370,-16.49364111,-4.67%
151,  濮阳市,357.9922205,416.6,-58.60777946,-16.37%
152,  许昌市,430.2735077,494.1,-63.82649225,-14.83%
153,  漯河市,254.9259335,276.4,-21.47406654,-8.42%
154,  三门峡市,223.7721775,225.6,-1.827822537,-0.82%
155,  南阳市,1020.061695,1200.9,-180.8383048,-17.73%
156,  商丘市,735.9087688,926.8,-190.8912312,-25.94%
157,  信阳市,610.4367325,876.6,-266.1632675,-43.60%
158,  周口市,894.5528156,1238.5,-343.9471844,-38.45%
159,  驻马店市,715.5513336,892.1,-176.5486664,-24.67%
160,  武汉市,989.855815,827.2,162.655815,16.43%
161,  黄石市,243.200084,260.1,-16.89991595,-6.95%
162,  十堰市,334.7819247,348.4,-13.61807527,-4.07%
163,  宜昌市,406.4112543,398.8,7.611254343,1.87%
164,  襄樊市,551.3744149,593.6,-42.22558506,-7.66%
165,  鄂州市,104.9897339,109.4,-4.410266062,-4.20%
166,  荆门市,287.6819777,301.9,-14.21802228,-4.94%
167,  孝感市,481.971831,528.9,-46.92816901,-9.74%
168,  荆州市,570.3794838,662.7,-92.32051619,-16.19%
169,  黄冈市,618.1156849,746.3,-128.1843151,-20.74%
170,  咸宁市,246.5252571,295.3,-48.77474289,-19.78%
171,  随州市,216.6053358,259.4,-42.79466421,-19.76%
172,  长沙市,706.5671445,656.6,49.96714447,7.07%
173,  株洲市,386.8974549,391.4,-4.502545077,-1.16%
174,  湘潭市,275.8433244,290.3,-14.45667558,-5.24%
175,  衡阳市,715.7346787,796.6,-80.86532128,-11.30%
176,  邵阳市,708.9367821,797.5,-88.56321794,-12.49%
177,  岳阳市,548.5263796,569.2,-20.67362038,-3.77%
178,  常德市,572.3637656,625.7,-53.33623436,-9.32%
179,  张家界市,148.4125585,168.4,-19.98744149,-13.47%
180,  益阳市,431.1232923,478.7,-47.57670765,-11.04%
181,  郴州市,459.4354547,506.5,-47.0645453,-10.24%
182,  永州市,520.3626706,631.2,-110.8373294,-21.30%
183,  怀化市,474.6469466,513.5,-38.85305344,-8.19%
184,  娄底市,378.8849387,435.8,-56.91506126,-15.02%
185,  广州市,1273.049863,814.6,458.4498627,36.01%
186,  韶关市,284.00758,329.7,-45.69242003,-16.09%
187,  深圳市,1041.969354,267.9,774.0693537,74.29%
188,  珠海市,156.4615119,106,50.46151191,32.25%
189,  汕头市,540.6599424,529.4,11.25994236,2.08%
190,  佛山市,721.5063595,374.8,346.7063595,48.05%
191,  江门市,445.8118744,393.7,52.11187444,11.69%
192,  湛江市,703.6490502,792.1,-88.4509498,-12.57%
193,  茂名市,585.4593942,761.3,-175.8406058,-30.03%
194,  肇庆市,393.6787944,426.9,-33.22120564,-8.44%
195,  惠州市,461.7327657,343,118.7327657,25.71%
196,  梅州市,425.6371293,517.6,-91.96287072,-21.61%
197,  汕尾市,294.6976769,347.2,-52.50232309,-17.82%
198,  河源市,296.993899,366.8,-69.806101,-23.50%
199,  阳江市,243.5135281,284.6,-41.0864719,-16.87%
200,  清远市,372.0861372,416.5,-44.41386282,-11.94%
201,  东莞市,823.9768401,184.8,639.1768401,77.57%
202,  中山市,313.2514211,150.7,162.5514211,51.89%
203,  潮州市,267.7879929,262.8,4.987992883,1.86%
204,  揭阳市,589.9250722,669.3,-79.37492782,-13.46%
205,  云浮市,237.1032903,286.1,-48.99670968,-20.66%
206,  南宁市,709.4301938,711.5,-2.069806236,-0.29%
207,  柳州市,377.6332473,374.8,2.833247275,0.75%
208,  桂林市,561.7064239,521.8,39.90642395,7.10%
209,  梧州市,289.5347326,327.6,-38.06526739,-13.15%
210,  北海市,154.6848893,167.9,-13.21511074,-8.54%
211,  防城港市,87.2642357,91.4,-4.135764299,-4.74%
212,  钦州市,282.0603245,391.2,-109.1396755,-38.69%
213,  贵港市,413.7872745,527.7,-113.9127255,-27.53%
214,  玉林市,551.2916599,684.8,-133.5083401,-24.22%
215,  百色市,348.0707585,385.3,-37.22924153,-10.70%
216,  贺州市,196.2232561,233.3,-37.07674393,-18.90%
217,  河池市,338.1291196,420.4,-82.27088039,-24.33%
218,  来宾市,210.8924745,261.7,-50.80752548,-24.09%
219,  崇左市,200.2882274,246.6,-46.31177261,-23.12%
220,  海口市,199.9770108,162.4,37.57701085,18.79%
221,  三亚市,62.47218247,58.1,4.372182471,7.00%
222,重庆市,2901.846377,3329.8,-427.9536232,-14.75%
223,  成都市,1405.923208,1163.3,242.6232079,17.26%
224,  自贡市,268.1554242,327.1,-58.94457579,-21.98%
225,  攀枝花市,121.7495663,111.7,10.0495663,8.25%
226,  泸州市,422.1690801,503,-80.83091991,-19.15%
227,  德阳市,360.3854635,390.5,-30.11453647,-8.36%
228,  绵阳市,461.7021937,543.4,-81.69780625,-17.69%
229,  广元市,248.712604,311.3,-62.58739599,-25.16%
230,  遂宁市,325.6457794,382.7,-57.05422064,-17.52%
231,  内江市,370.6025496,426.1,-55.49745035,-14.97%
232,  乐山市,323.956244,354.4,-30.44375595,-9.40%
233,  南充市,628.2681557,756.2,-127.9318443,-20.36%
234,  眉山市,295.4142061,350.8,-55.38579388,-18.75%
235,  宜宾市,446.7655175,542.9,-96.13448248,-21.52%
236,  广安市,320.7746938,468.5,-147.7253062,-46.05%
237,  达州市,547.7042871,690.7,-142.9957129,-26.11%
238,  雅安市,151.2615026,155.8,-4.538497429,-3.00%
239,  巴中市,329.1420493,389.4,-60.25795073,-18.31%
240,  资阳市,364.7654703,503.9,-139.1345297,-38.14%
241,  贵阳市,436.1353431,376.1,60.03534309,13.77%
242,  六盘水市,285.2226094,321.4,-36.17739058,-12.68%
243,  遵义市,611.8184397,771.9,-160.0815603,-26.16%
244,  安顺市,229.0270292,282.3,-53.27297081,-23.26%
245,  毕节市,653.2831341,851.7,-198.4168659,-30.37%
246,  铜仁市,308.8280238,427.2,-118.3719762,-38.33%
247,  昆明市,646.282944,544,102.282944,15.83%
248,  曲靖市,587.6885564,632.3,-44.61144356,-7.59%
249,  玉溪市,231.2005908,231.8,-0.599409174,-0.26%
250,  保山市,251.5900039,254.2,-2.609996065,-1.04%
251,  昭通市,523.8623409,579.3,-55.43765912,-10.58%
252,  丽江市,125.0098046,121.2,3.809804608,3.05%
253,  思茅市,308.1857157,256.1,52.08571575,16.90%
254,  临沧市,243.9847752,235.7,8.28477521,3.40%
255,  铜川市,83.65841478,85.5,-1.841585218,-2.20%
256,  宝鸡市,372.3208461,383.2,-10.87915387,-2.92%
257,  咸阳市,490.5480884,525.7,-35.15191164,-7.17%
258,  渭南市,529.7431013,564.7,-34.95689868,-6.60%
259,  延安市,219.1331903,232.9,-13.76680969,-6.28%
260,  汉中市,341.6430984,382.3,-40.65690165,-11.90%
261,  榆林市,335.3309049,370.7,-35.36909506,-10.55%
262,  安康市,263.0807004,305.1,-42.01929961,-15.97%
263,  商洛市,233.96196,247.9,-13.93803997,-5.96%
264,  兰州市,361.9989087,323.3,38.6989087,10.69%
265,  嘉峪关市,23.24987661,19.5,3.749876611,16.13%
266,  金昌市,46.49512585,46.6,-0.104874151,-0.23%
267,  白银市,181.8977735,179.4,2.497773475,1.37%
268,  天水市,327.0979782,369.6,-42.50202177,-12.99%
269,  武威市,181.8155527,192,-10.18444726,-5.60%
270,  张掖市,120.2592124,130.9,-10.64078756,-8.85%
271,  平凉市,207.3477477,233,-25.65225225,-12.37%
272,  庆阳市,221.5669072,262,-40.43309275,-18.25%
273,  定西市,270.3036437,302.3,-31.99635628,-11.84%
274,  陇南市,306.1517733,283.2,22.95177327,7.50%
275,  西宁市,221.8300953,222.8,-0.969904729,-0.44%
276,  银川市,201.5105179,162.2,39.31051793,19.51%
277,  石嘴山市,73.05335768,75.1,-2.046642317,-2.80%
278,  吴忠市,128.8478704,139.8,-10.95212963,-8.50%
279,  固原市,124.0105702,155.3,-31.28942976,-25.23%
280,  中卫市,112.9179066,119.2,-6.282093355,-5.56%
281,  乌鲁木齐市,321.0003419,249.4,71.60034189,22.31%
282,  克拉玛依市,62.09561984,37.8,24.29561984,39.13%
