,城市,常住人口,户籍人口,2015流动人口,2015流动人口占比,l
71,江苏省,636.6310718,7684.7,-7048.068928,-1107.09%,-1.11E+01
72,  南京市,820.1915477,648.7,171.4915477,20.91%,2.09E-01
73,  无锡市,649.2107699,477.1,172.1107699,26.51%,2.65E-01
74,  徐州市,860.9678259,1023.5,-162.5321741,-18.88%,-1.89E-01
75,  常州市,469.4243605,368.6,100.8243605,21.48%,2.15E-01
76,  苏州市,1059.141043,661.1,398.0410429,37.58%,3.76E-01
77,  南通市,729.7842674,767.6,-37.8157326,-5.18%,-5.18E-02
78,  连云港市,443.9980125,526.5,-82.50198749,-18.58%,-1.86E-01
79,  淮安市,483.9541943,560.3,-76.34580574,-15.78%,-1.58E-01
80,  盐城市,722.1349901,828.5,-106.3650099,-14.73%,-1.47E-01
81,  扬州市,447.3963753,461.3,-13.90362475,-3.11%,-3.11E-02
82,  镇江市,316.8413669,272.1,44.74136695,14.12%,1.41E-01
83,  泰州市,463.6329876,508.5,-44.86701235,-9.68%,-9.68E-02
84,  宿迁市,483.1168831,580.7,-97.58311688,-20.20%,-2.02E-01
85,浙江省,523.5573684,4859.2,-4335.642632,-828.11%,-8.28E+00
86,  杭州市,886.8025488,715.8,171.0025488,19.28%,1.93E-01
87,  宁波市,773.7013887,583.8,189.9013887,24.54%,2.45E-01
88,  温州市,913.2488646,813.7,99.54886455,10.90%,1.09E-01
89,  嘉兴市,456.3974652,348.1,108.2974652,23.73%,2.37E-01
90,  湖州市,292.3021803,263.8,28.50218031,9.75%,9.75E-02
91,  绍兴市,495.2498259,443,52.24982586,10.55%,1.06E-01
92,  金华市,543.2475955,475.1,68.1475955,12.54%,1.25E-01
93,  衢州市,254.9377458,255.7,-0.76225423,-0.30%,-3.00E-03
94,  舟山市,114.4002772,97.5,16.9002772,14.77%,1.48E-01
95,  台州市,602.6505658,597.1,5.550565756,0.92%,9.20E-03
96,  丽水市,212.6512263,265.7,-53.04877373,-24.95%,-2.50E-01
97,安徽省,334.5894902,6935.3,-6600.71051,-1972.78%,-1.97E+01
98,  合肥市,765.3473977,712.8,52.54739766,6.87%,6.87E-02
99,  芜湖市,360.6472306,384.5,-23.85276941,-6.61%,-6.61E-02
100,  蚌埠市,323.8970514,371.1,-47.20294862,-14.57%,-1.46E-01
101,  淮南市,236.5992326,243.4,-6.800767363,-2.87%,-2.87E-02
102,  马鞍山市,221.8501939,227.2,-5.349806127,-2.41%,-2.41E-02
103,  淮北市,215.048409,215.3,-0.251590986,-0.12%,-1.20E-03
104,  铜陵市,73.69975204,73.8,-0.10024796,-0.14%,-1.40E-03
105,  安庆市,536.0722716,620.9,-84.82772841,-15.82%,-1.58E-01
106,  黄山市,135.9485606,147.7,-11.75143945,-8.64%,-8.64E-02
107,  滁州市,397.356194,449.6,-52.24380603,-13.15%,-1.32E-01
108,  阜阳市,776.9498138,1051.4,-274.4501862,-35.32%,-3.53E-01
109,  宿州市,545.8381431,642.3,-96.4618569,-17.67%,-1.77E-01
110,  六安市,570.407579,720.5,-150.092421,-26.31%,-2.63E-01
111,  亳州市,497.2873544,634.4,-137.1126456,-27.57%,-2.76E-01
112,  池州市,142.6004357,160.6,-17.99956434,-12.62%,-1.26E-01
113,  宣城市,256.8521525,279.8,-22.94784751,-8.93%,-8.93E-02
114,福建省,435.9211607,3695.8,-3259.878839,-747.81%,-7.48E+00
115,  福州市,738.5048503,674.9,63.60485035,8.61%,8.61E-02
116,  厦门市,377.0012438,203.4,173.6012438,46.05%,4.61E-01
117,  莆田市,283.9992626,341.2,-57.20073738,-20.14%,-2.01E-01
118,  三明市,250.9995975,284,-33.00040254,-13.15%,-1.32E-01
119,  泉州市,840.0031646,716.2,123.8031646,14.74%,1.47E-01
120,  漳州市,494.4976226,497.4,-2.902377429,-0.59%,-5.90E-03
121,  南平市,262.0013817,319.2,-57.19861831,-21.83%,-2.18E-01
122,  龙岩市,258.5003348,307.1,-48.59966516,-18.80%,-1.88E-01
123,  宁德市,284.4991213,352.2,-67.70087866,-23.80%,-2.38E-01
124,江西省,347.147512,4923.3,-4576.152488,-1318.22%,-1.32E+01
125,  南昌市,521.2174413,517.7,3.517441348,0.67%,6.70E-03
126,  景德镇市,162.4661517,167.8,-5.333848321,-3.28%,-3.28E-02
127,  萍乡市,188.5783679,198.2,-9.62163211,-5.10%,-5.10E-02
128,  九江市,479.8123568,513.1,-33.28764321,-6.94%,-6.94E-02
129,  新余市,115.819928,122.3,-6.480072044,-5.59%,-5.59E-02
130,  鹰潭市,114.5009338,126.9,-12.39906623,-10.83%,-1.08E-01
131,  赣州市,849.2685185,954.2,-104.9314815,-12.36%,-1.24E-01
132,  吉安市,487.3698894,526.7,-39.33011065,-8.07%,-8.07E-02
133,  宜春市,548.5488762,595.6,-47.05112376,-8.58%,-8.58E-02
134,  抚州市,396.941422,427.5,-30.55857805,-7.70%,-7.70E-02
135,  上饶市,667.6008785,773.1,-105.4991215,-15.80%,-1.58E-01
136,山东省,526.1334649,9747.1,-9220.966535,-1752.59%,-1.75E+01
137,  济南市,703.2853069,621.6,81.68530688,11.61%,1.16E-01
138,  淄博市,460.3816705,428,32.38167049,7.03%,7.03E-02
139,  枣庄市,381.6015803,401.3,-19.69841973,-5.16%,-5.16E-02
140,  东营市,209.1991804,189.1,20.0991804,9.61%,9.61E-02
141,  烟台市,699.583752,653.4,46.18375197,6.60%,6.60E-02
142,  潍坊市,923.4747038,888.3,35.17470382,3.81%,3.81E-02
143,  济宁市,822.29258,860.1,-37.80741999,-4.60%,-4.60E-02
144,  泰安市,557.4778007,562.3,-4.82219932,-0.87%,-8.70E-03
145,  威海市,280.7409047,254.8,25.9409047,9.24%,9.24E-02
146,  日照市,286.0512165,293.9,-7.848783474,-2.74%,-2.74E-02
147,  莱芜市,133.8993613,127.8,6.099361271,4.56%,4.56E-02
148,  临沂市,1019.01119,1113.2,-94.18881023,-9.24%,-9.24E-02
149,  德州市,568.8043645,583.2,-14.3956355,-2.53%,-2.53E-02
150,  聊城市,592.3449932,612.1,-19.75500683,-3.34%,-3.34E-02
151,  滨州市,382.2734523,386.7,-4.426547677,-1.16%,-1.16E-02
152,  菏泽市,840.2745217,990.6,-150.3254783,-17.89%,-1.79E-01
153,河南省,533.451188,11121,-10587.54881,-1984.73%,-1.98E+01
154,  郑州市,928.4691263,937.8,-9.330873669,-1.00%,-1.00E-02
155,  开封市,459.7449929,553.8,-94.05500709,-20.46%,-2.05E-01
156,  洛阳市,664.6646701,696.2,-31.53532995,-4.74%,-4.74E-02
157,  平顶山市,495.9022536,557.1,-61.19774641,-12.34%,-1.23E-01
158,  安阳市,508.8935814,611.4,-102.5064186,-20.14%,-2.01E-01
159,  鹤壁市,160.3284371,166.9,-6.571562867,-4.10%,-4.10E-02
160,  新乡市,569.1555833,630.5,-61.34441675,-10.78%,-1.08E-01
161,  焦作市,351.827302,369.6,-17.77269796,-5.05%,-5.05E-02
162,  濮阳市,359.2507809,424.5,-65.24921909,-18.16%,-1.82E-01
163,  许昌市,430.6144292,499.8,-69.18557075,-16.07%,-1.61E-01
164,  漯河市,256.6496959,266.7,-10.05030405,-3.92%,-3.92E-02
165,  三门峡市,224.4086393,227.8,-3.391360683,-1.51%,-1.51E-02
166,  南阳市,1003.928896,1181.4,-177.4711043,-17.68%,-1.77E-01
167,  商丘市,726.7592791,949.7,-222.9407209,-30.68%,-3.07E-01
168,  信阳市,639.2642779,890.4,-251.1357221,-39.29%,-3.93E-01
169,  周口市,879.4673524,1236.9,-357.4326476,-40.64%,-4.06E-01
170,  驻马店市,691.425698,920.6,-229.174302,-33.15%,-3.32E-01
171,湖北省,465.153374,5324.9,-4859.746626,-1044.76%,-1.04E+01
172,  武汉市,1027.497959,827.3,200.1979592,19.48%,1.95E-01
173,  黄石市,244.7104185,265.1,-20.38958149,-8.33%,-8.33E-02
174,  十堰市,337.2710931,347,-9.728906864,-2.88%,-2.88E-02
175,  宜昌市,410.1415496,400.4,9.741549582,2.38%,2.38E-02
176,  襄阳市,559.5558258,595.5,-35.94417424,-6.42%,-6.42E-02
177,  鄂州市,105.8796318,110.2,-4.320368229,-4.08%,-4.08E-02
178,  荆门市,288.8161664,300.3,-11.48383358,-3.98%,-3.98E-02
179,  孝感市,485.7194077,525.7,-39.98059231,-8.23%,-8.23E-02
180,  荆州市,574.4121983,658.5,-84.08780166,-14.64%,-1.46E-01
181,  黄冈市,630.901937,741.4,-110.498063,-17.51%,-1.75E-01
182,  咸宁市,248.710343,296.5,-47.78965695,-19.21%,-1.92E-01
183,  随州市,218.1958017,257.1,-38.90419834,-17.83%,-1.78E-01
184,湖南省,515.7055359,6916.9,-6401.194464,-1241.25%,-1.24E+01
185,  长沙市,726.6520621,671.4,55.25206207,7.60%,7.60E-02
186,  株洲市,394.7707751,396.1,-1.329224895,-0.34%,-3.40E-03
187,  湘潭市,280.6176923,291.5,-10.88230775,-3.88%,-3.88E-02
188,  衡阳市,727.6822736,791.5,-63.81772636,-8.77%,-8.77E-02
189,  邵阳市,721.0026289,819,-97.99737113,-13.59%,-1.36E-01
190,  岳阳市,557.715599,563.3,-5.584400986,-1.00%,-1.00E-02
191,  常德市,581.778202,608.7,-26.92179799,-4.63%,-4.63E-02
192,  张家界市,151.5724742,172.1,-20.52752578,-13.54%,-1.35E-01
193,  益阳市,438.2246118,483.2,-44.97538817,-10.26%,-1.03E-01
194,  郴州市,468.1559039,518.8,-50.6440961,-10.82%,-1.08E-01
195,  永州市,535.6875077,630.9,-95.21249228,-17.77%,-1.78E-01
196,  怀化市,484.7490972,525.5,-40.75090282,-8.41%,-8.41E-02
197,  娄底市,384.2895998,444.9,-60.6104002,-15.77%,-1.58E-01
198,广东省,615.8603304,8872.5,-8256.63967,-1340.67%,-1.34E+01
199,  广州市,1300.368304,842.4,457.9683043,35.22%,3.52E-01
200,  韶关市,290.0770333,329.1,-39.02296671,-13.45%,-1.35E-01
201,  深圳市,1070.391699,332.2,738.1916987,68.96%,6.90E-01
202,  珠海市,160.2248985,110.2,50.02489853,31.22%,3.12E-01
203,  汕头市,550.1462453,546.6,3.546245313,0.64%,6.40E-03
204,  佛山市,732.3183522,385.6,346.7183522,47.35%,4.74E-01
205,  江门市,450.4538789,393.4,57.05387893,12.67%,1.27E-01
206,  湛江市,718.9655315,819,-100.0344685,-13.91%,-1.39E-01
207,  茂名市,603.0734256,772.4,-169.3265744,-28.08%,-2.81E-01
208,  肇庆市,402.8965389,433.7,-30.80346108,-7.65%,-7.65E-02
209,  惠州市,471.333459,348.5,122.833459,26.06%,2.61E-01
210,  梅州市,431.5061133,528.6,-97.0938867,-22.50%,-2.25E-01
211,  汕尾市,299.6460632,359.1,-59.45393681,-19.84%,-1.98E-01
212,  河源市,305.0422882,365.3,-60.25771184,-19.75%,-1.98E-01
213,  阳江市,248.955878,289.4,-40.44412203,-16.25%,-1.63E-01
214,  清远市,380.5130095,412.3,-31.7869905,-8.35%,-8.35E-02
215,  东莞市,832.9887827,191.4,641.5887827,77.02%,7.70E-01
216,  中山市,318.3291874,156.1,162.2291874,50.96%,5.10E-01
217,  潮州市,271.6186825,268.8,2.818682512,1.04%,1.04E-02
218,  揭阳市,601.5014189,694.2,-92.69858108,-15.41%,-1.54E-01
219,  云浮市,243.6536034,294.2,-50.54639659,-20.75%,-2.08E-01
220,广西壮族自治区,330.0876842,5475.5,-5145.412316,-1558.80%,-1.56E+01
221,  南宁市,727.0390735,729.7,-2.660926495,-0.37%,-3.70E-03
222,  柳州市,387.1246472,377.9,9.224647233,2.38%,2.38E-02
223,  桂林市,489.984204,526.5,-36.51579597,-7.45%,-7.45E-02
224,  梧州市,340.2726488,340.3,-0.027351165,-0.01%,-1.00E-04
225,  北海市,159.695073,169.3,-9.604926963,-6.01%,-6.01E-02
226,  防城港市,90.35008591,94.2,-3.849914089,-4.26%,-4.26E-02
227,  钦州市,316.993734,402,-85.00626599,-26.82%,-2.68E-01
228,  贵港市,423.8029362,543.2,-119.3970638,-28.17%,-2.82E-01
229,  玉林市,564.1381601,708,-143.8618399,-25.50%,-2.55E-01
230,  百色市,355.6984422,412,-56.30155778,-15.83%,-1.58E-01
231,  贺州市,200.6626538,238.1,-37.43734616,-18.66%,-1.87E-01
232,  河池市,344.1640151,419.9,-75.73598489,-22.01%,-2.20E-01
233,  来宾市,215.6381098,266.4,-50.76189023,-23.54%,-2.35E-01
234,  崇左市,203.3945655,248.2,-44.80543451,-22.03%,-2.20E-01
235,海南省,142.9255503,223.9,-80.97444966,-56.65%,-5.67E-01
236,  海口市,218.5896122,165.3,53.28961216,24.38%,2.44E-01
237,  三亚市,73.69481899,58.6,15.09481899,20.48%,2.05E-01
238,重庆市,2980.689655,3375.2,-394.5103448,-13.24%,-1.32E-01
239,四川省,457.9196867,8448.7,-7990.780313,-1745.02%,-1.75E+01
240,  成都市,1436.266242,1210.7,225.566242,15.71%,1.57E-01
241,  自贡市,274.2124409,330,-55.78755908,-20.34%,-2.03E-01
242,  攀枝花市,123.2695552,111.9,11.36955525,9.22%,9.22E-02
243,  泸州市,424.7955151,508.9,-84.10448491,-19.80%,-1.98E-01
244,  德阳市,351.7321482,392.5,-40.76785176,-11.59%,-1.16E-01
245,  绵阳市,470.7941474,548.8,-78.00585255,-16.57%,-1.66E-01
246,  广元市,255.9985531,310.1,-54.10144685,-21.13%,-2.11E-01
247,  遂宁市,327.8741242,380.4,-52.52587583,-16.02%,-1.60E-01
248,  内江市,372.8636862,426,-53.13631382,-14.25%,-1.43E-01
249,  南充市,632.5456955,759,-126.4543045,-19.99%,-2.00E-01
250,  眉山市,298.4118557,353,-54.58814426,-18.29%,-1.83E-01
251,  宜宾市,446.7515007,554.3,-107.5484993,-24.07%,-2.41E-01
252,  广安市,322.7956053,471.7,-148.9043947,-46.13%,-4.61E-01
253,  达州市,552.1414117,688.1,-135.9585883,-24.62%,-2.46E-01
254,  雅安市,153.8713896,157.2,-3.328610409,-2.16%,-2.16E-02
255,  巴中市,331.9712126,383.1,-51.12878744,-15.40%,-1.54E-01
256,  资阳市,355.9186711,507.3,-151.3813289,-42.53%,-4.25E-01
257,贵州省,425.4259542,3101.3,-2675.874046,-628.99%,-6.29E+00
258,  贵阳市,453.9003781,382.9,71.00037806,15.64%,1.56E-01
259,  六盘水市,287.8243348,328.3,-40.47566523,-14.06%,-1.41E-01
260,  遵义市,614.8668154,787,-172.1331846,-28.00%,-2.80E-01
261,  安顺市,230.4311223,290,-59.56887766,-25.85%,-2.59E-01
262,  毕节市,653.983169,880.8,-226.816831,-34.68%,-3.47E-01
263,  铜仁市,311.0220398,432.3,-121.2779602,-38.99%,-3.90E-01
264,云南省,398.1109197,2878.9,-2480.78908,-623.14%,-6.23E+00
265,  昆明市,660.252205,550.5,109.752205,16.62%,1.66E-01
266,  曲靖市,599.1516583,646.5,-47.34834175,-7.90%,-7.90E-02
267,  玉溪市,234.5479401,216,18.54794005,7.91%,7.91E-02
268,  保山市,256.044056,258.8,-2.755943984,-1.08%,-1.08E-02
269,  昭通市,537.1291667,594.4,-57.27083333,-10.66%,-1.07E-01
270,  丽江市,126.7185307,121.2,5.518530707,4.35%,4.35E-02
271,  普洱市,258.8999566,253.8,5.099956574,1.97%,1.97E-02
272,  临沧市,248.5951363,237.8,10.79513629,4.34%,4.34E-02
273,陕西省,395.0948769,3921.5,-3526.405123,-892.55%,-8.93E+00
274,  西安市,860.9963319,815.3,45.69633194,5.31%,5.31E-02
275,  铜川市,84.39588089,84.1,0.295880888,0.35%,3.50E-03
276,  宝鸡市,374.8859073,383.8,-8.914092735,-2.38%,-2.38E-02
277,  咸阳市,494.9465107,526.7,-31.75348931,-6.42%,-6.42E-02
278,  渭南市,533.7394564,561.4,-27.66054358,-5.18%,-5.18E-02
279,  延安市,221.0182734,234.3,-13.28172657,-6.01%,-6.01E-02
280,  汉中市,342.8289747,384.1,-41.27102532,-12.04%,-1.20E-01
281,  榆林市,337.7095812,373.8,-36.09041882,-10.69%,-1.07E-01
282,  安康市,263.9801662,306.2,-42.21983382,-15.99%,-1.60E-01
283,  商洛市,234.8467683,251.7,-16.85323172,-7.18%,-7.18E-02
284,甘肃省,149.9949612,2501.8,-2351.805039,-1567.92%,-1.57E+01
285,  兰州市,365.3281664,374.7,-9.371833635,-2.57%,-2.57E-02
286,  嘉峪关市,23.84010593,24.1,-0.259894071,-1.09%,-1.09E-02
287,  金昌市,46.93534317,47,-0.064656831,-0.14%,-1.40E-03
288,  白银市,171.0255597,177.9,-6.874440284,-4.02%,-4.02E-02
289,  天水市,329.8150391,364.5,-34.68496089,-10.52%,-1.05E-01
290,  武威市,181.1871374,188.9,-7.712862626,-4.26%,-4.26E-02
291,  张掖市,121.1902385,129.7,-8.50976149,-7.02%,-7.02E-02
292,  平凉市,208.9611946,233.7,-24.73880544,-11.84%,-1.18E-01
293,  酒泉市,111.0090182,111.2,-0.190981818,-0.17%,-1.70E-03
294,  庆阳市,222.3088709,265.5,-43.19112906,-19.43%,-1.94E-01
295,  定西市,277.1387775,301.4,-24.26122254,-8.75%,-8.75E-02
296,  陇南市,258.1141481,283.2,-25.08585193,-9.72%,-9.72E-02
297,青海省,198.2431033,375,-176.7568967,-89.16%,-8.92E-01
298,  西宁市,227.9160643,202.6,25.31606433,11.11%,1.11E-01
299,  海东市,143.7132359,172.4,-28.68676413,-19.96%,-2.00E-01
300,宁夏回族自治区,138.1830552,691.6,-553.4169448,-400.50%,-4.01E+00
301,  银川市,210.5826939,196,14.58269388,6.92%,6.92E-02
302,  石嘴山市,76.59910493,76.5,0.099104933,0.13%,1.30E-03
303,  吴忠市,134.198411,143.5,-9.301588968,-6.93%,-6.93E-02
304,  固原市,123.5732112,153.3,-29.72678879,-24.06%,-2.41E-01
305,  中卫市,112.9128026,122.2,-9.287197389,-8.23%,-8.23E-02
306,新疆维吾尔自治区,148.0521091,305.9,-157.8478909,-106.62%,-1.07E+00
307,  乌鲁木齐市,349.5015903,266.9,82.60159028,23.63%,2.36E-01
308,  克拉玛依市,55.37303049,39,16.37303049,29.57%,2.96E-01
