,城市,常住人口,户籍人口,2011流动人口,2011流动人口占比
34,  大连市,663.8219525,586.44,77.38195254,11.66%
35,  鞍山市,363.7100092,351.79,11.92000924,3.28%
36,  抚顺市,214.1011959,220.91,-6.808804114,-3.18%
37,  本溪市,169.9927883,154.6,15.39278827,9.05%
38,  丹东市,243.833272,241.36,2.473272003,1.01%
39,  锦州市,311.8618439,308.35,3.511843904,1.13%
40,  营口市,241.8337837,235.53,6.303783653,2.61%
41,  阜新市,181.9806907,192.38,-10.39930928,-5.71%
42,  辽阳市,185.3120748,183.32,1.992074787,1.07%
43,  盘锦市,138.306468,131.25,7.056467989,5.10%
44,  铁岭市,271.9269092,305.15,-33.22309083,-12.22%
45,  朝阳市,304.7958767,339.24,-34.44412333,-11.30%
46,  葫芦岛市,261.7715003,281.75,-19.97849966,-7.63%
47,  长春市,757.7004962,758.89,-1.189503824,-0.16%
48,  吉林市,434.1082475,434.03,0.078247547,0.02%
49,  四平市,339.7928254,340.55,-0.757174614,-0.22%
50,  辽源市,123.7717959,123.75,0.021795878,0.02%
51,  通化市,226.4660166,226.12,0.346016612,0.15%
52,  白山市,129.211013,128.7,0.511013006,0.40%
53,  松原市,289.1876967,290.05,-0.862303335,-0.30%
54,  白城市,202.6032859,202.64,-0.036714149,-0.02%
55,  哈尔滨市,991.8145111,992.02,-0.205488891,-0.02%
56,  齐齐哈尔市,539.8595254,568.11,-28.25047458,-5.23%
57,  鸡西市,189.962007,189.2,0.762006974,0.40%
58,  鹤岗市,108.9164208,109.1,-0.18357924,-0.17%
59,  双鸭山市,151.1922182,151.58,-0.387781804,-0.26%
60,  大庆市,279.9938403,279.8,0.193840272,0.07%
61,  伊春市,127.1293017,126.95,0.179301683,0.14%
62,  佳木斯市,253.0148613,253.78,-0.765138738,-0.30%
63,  七台河市,92.8013682,92.86,-0.058631803,-0.06%
64,  牡丹江市,277.7197677,270.23,7.489767653,2.70%
65,  黑河市,174.135921,174.21,-0.074078965,-0.04%
66,  绥化市,583.197042,586.21,-3.012958015,-0.52%
67,上海市,2256.484476,1412.32,844.1644756,37.41%
68,  南京市,801.2008682,632.42,168.7808682,21.07%
69,  无锡市,628.5723586,466.56,162.0123586,25.77%
70,  徐州市,863.2024997,972.89,-109.6875003,-12.71%
71,  常州市,452.2539249,360.8,91.45392487,20.22%
72,  苏州市,991.8972948,637.66,354.2372948,35.71%
73,  南通市,730.8610473,762.92,-32.05895274,-4.39%
74,  连云港市,442.1795679,497.73,-55.55043206,-12.56%
75,  淮安市,480.950071,538.74,-57.78992897,-12.02%
76,  盐城市,737.2819216,816.12,-78.83807838,-10.69%
77,  扬州市,447.8143253,459.12,-11.30567469,-2.52%
78,  镇江市,314.102402,270.71,43.39240202,13.81%
79,  泰州市,464.3728184,504.65,-40.27718165,-8.67%
80,  宿迁市,472.4039956,546.28,-73.87600444,-15.64%
81,  杭州市,851.9746663,689.12,162.8546663,19.11%
82,  宁波市,744.291561,574.08,170.211561,22.87%
83,  温州市,782.9552718,786.8,-3.844728178,-0.49%
84,  嘉兴市,441.1335558,341.6,99.5335558,22.56%
85,  湖州市,287.2116585,259.98,27.23165854,9.48%
86,  绍兴市,438.3256861,438.91,-0.584313941,-0.13%
87,  金华市,528.8728726,466.65,62.22287265,11.77%
88,  衢州市,250.5497297,251.24,-0.690270288,-0.28%
89,  舟山市,96.77190189,96.77,0.001901894,0.00%
90,  台州市,589.3455018,583.14,6.205501797,1.05%
91,  丽水市,211.9418456,259.65,-47.7081544,-22.51%
92,  合肥市,493.0305132,494.95,-1.919486824,-0.39%
93,  芜湖市,229.4937275,229.5,-0.006272513,0.00%
94,  蚌埠市,361.4367516,362.23,-0.793248397,-0.22%
95,  淮南市,231.6976084,243.99,-12.29239165,-5.31%
96,  马鞍山市,128.8511328,129.1,-0.248867211,-0.19%
97,  淮北市,206.9139361,219.56,-12.64606392,-6.11%
98,  铜陵市,72.36107666,74.01,-1.648923344,-2.28%
99,  安庆市,531.1277145,615.62,-84.49228553,-15.91%
100,  黄山市,148.383287,148.05,0.333286962,0.22%
101,  滁州市,399.7989655,450.8,-51.00103448,-12.76%
102,  阜阳市,796.0017644,1011.84,-215.8382356,-27.12%
103,  宿州市,654.1679236,642.07,12.09792358,1.85%
104,  巢湖市,389.7346206,460.51,-70.77537938,-18.16%
105,  六安市,561.2359094,704.82,-143.5840906,-25.58%
106,  亳州市,496.9761582,600.76,-103.7838418,-20.88%
107,  池州市,140.3386201,160.46,-20.12137986,-14.34%
108,  宣城市,253.3005686,278.36,-25.05943143,-9.89%
109,  福州市,699.265498,645.9,53.36549802,7.63%
110,  厦门市,353.1332945,180.21,172.9232945,48.97%
111,  莆田市,281.9288817,323.54,-41.61111833,-14.76%
112,  三明市,257.1674974,272.73,-15.56250257,-6.05%
113,  泉州市,799.9851671,685.27,114.7151671,14.34%
114,  漳州市,480.6038832,476.36,4.243883234,0.88%
115,  南平市,277.2755813,313.9,-36.62441874,-13.21%
116,  龙岩市,256.059047,314.37,-58.31095302,-22.77%
117,  宁德市,293.0991667,339.37,-46.27083333,-15.79%
118,  南昌市,502.6630492,502.25,0.41304919,0.08%
119,  景德镇市,158.2919225,163.16,-4.868077517,-3.08%
120,  萍乡市,185.1526364,188.09,-2.937363552,-1.59%
121,  九江市,472.081557,497.91,-25.82844296,-5.47%
122,  新余市,113.7499459,118.01,-4.260054062,-3.75%
123,  鹰潭市,112.0889532,121.92,-9.831046833,-8.77%
124,  赣州市,840.5203423,907.27,-66.74965771,-7.94%
125,  吉安市,481.344846,495.04,-13.69515398,-2.85%
126,  宜春市,541.2133748,557.93,-16.71662519,-3.09%
127,  抚州市,391.7256731,403.96,-12.23432693,-3.12%
128,  上饶市,655.7040245,740.33,-84.62597555,-12.91%
129,  济南市,674.6242798,604.08,70.54427975,10.46%
130,  青岛市,860.7698969,763.64,97.12989685,11.28%
131,  淄博市,452.1901667,422.36,29.83016673,6.60%
132,  枣庄市,369.7266755,391.03,-21.30332447,-5.76%
133,  东营市,202.6604149,184.87,17.79041495,8.78%
134,  烟台市,700.1092299,651.14,48.96922993,6.99%
135,  潍坊市,901.8527704,873.78,28.0727704,3.11%
136,  济宁市,805.6842305,843.03,-37.34576946,-4.64%
137,  泰安市,548.7242578,557.01,-8.285742177,-1.51%
138,  威海市,253.2887025,253.61,-0.321297507,-0.13%
139,  日照市,277.9275005,287.92,-9.992499526,-3.60%
140,  莱芜市,128.8605326,126.69,2.170532585,1.68%
141,  临沂市,1004.768484,1072.69,-67.92151637,-6.76%
142,  德州市,556.8386403,570.18,-13.34135967,-2.40%
143,  聊城市,569.9761102,597.53,-27.55388983,-4.83%
144,  滨州市,372.4145844,377.92,-5.505415617,-1.48%
145,  菏泽市,826.824338,958.8,-131.975662,-15.96%
146,  郑州市,809.0360983,963,-153.9639017,-19.03%
147,  开封市,469.4472911,534.7,-65.25270886,-13.90%
148,  洛阳市,648.8020804,703.54,-54.73791958,-8.44%
149,  平顶山市,490.4000748,539.59,-49.18992518,-10.03%
150,  安阳市,519.3797868,581.4,-62.02021319,-11.94%
151,  鹤壁市,150.4045775,162.05,-11.64542252,-7.74%
152,  新乡市,561.3987545,603.86,-42.46124552,-7.56%
153,  焦作市,348.3451226,368.02,-19.6748774,-5.65%
154,  濮阳市,355.9020058,409.83,-53.92799422,-15.15%
155,  许昌市,431.1262117,489.64,-58.51378832,-13.57%
156,  漯河市,252.2780455,278.47,-26.19195447,-10.38%
157,  三门峡市,223.2018838,230.3,-7.098116194,-3.18%
158,  南阳市,1020.295743,1186.69,-166.394257,-16.31%
159,  商丘市,758.2308916,918.01,-159.7791084,-21.07%
160,  信阳市,644.6813297,870.22,-225.5386703,-34.98%
161,  周口市,948.9357231,1224.35,-275.4142769,-29.02%
162,  驻马店市,746.4134023,886.1,-139.6865977,-18.71%
163,  武汉市,944.0019674,836.73,107.2719674,11.36%
164,  黄石市,242.7691983,260.14,-17.3708017,-7.16%
165,  十堰市,346.4428457,353.19,-6.747154277,-1.95%
166,  宜昌市,405.2591603,398.55,6.709160315,1.66%
167,  襄阳市,549.9910615,591.07,-41.07893847,-7.47%
168,  鄂州市,104.1799541,108.46,-4.280045858,-4.11%
169,  荆门市,286.2009487,300.4,-14.19905132,-4.96%
170,  孝感市,481.4612147,531.05,-49.58878533,-10.30%
171,  荆州市,569.184742,658.17,-88.98525804,-15.63%
172,  黄冈市,642.5005588,742.41,-99.90944117,-15.55%
173,  咸宁市,246.2634294,290.96,-44.69657059,-18.15%
174,  随州市,218.519123,257.91,-39.39087699,-18.03%
175,  长沙市,684.3546047,652.4,31.9546047,4.67%
176,  株洲市,379.5621057,390.27,-10.7078943,-2.82%
177,  湘潭市,276.6018997,288.98,-12.37810031,-4.48%
178,  衡阳市,695.5961115,791.62,-96.02388854,-13.80%
179,  邵阳市,694.7738823,793.97,-99.19611769,-14.28%
180,  岳阳市,547.6192102,565.62,-18.00078975,-3.29%
181,  常德市,561.7749237,623.11,-61.33507627,-10.92%
182,  张家界市,149.3278113,164.75,-15.42218869,-10.33%
183,  益阳市,422.9911515,476.36,-53.36884851,-12.62%
184,  郴州市,450.4531335,502.07,-51.61686654,-11.46%
185,  永州市,515.6748689,610.65,-94.9751311,-18.42%
186,  怀化市,469.6421265,509.72,-40.0778735,-8.53%
187,  娄底市,386.3092379,432.99,-46.68076214,-12.08%
188,  广州市,1037.228738,806.14,231.0887382,22.28%
189,  韶关市,297.0660144,328.1,-31.03398565,-10.45%
190,  深圳市,896.4736246,259.87,636.6036246,71.01%
191,  珠海市,149.7696073,104.74,45.0296073,30.07%
192,  汕头市,512.2772458,524.11,-11.83275424,-2.31%
193,  佛山市,601.3345286,370.89,230.4445286,38.32%
194,  江门市,420.877201,392.28,28.59720098,6.79%
195,  湛江市,699.6977242,777.77,-78.07227578,-11.16%
196,  茂名市,622.7142857,747.17,-124.4557143,-19.99%
197,  肇庆市,390.0948412,422.41,-32.31515879,-8.28%
198,  惠州市,398.6345369,337.28,61.35453695,15.39%
199,  梅州市,415.8877579,514.75,-98.86224213,-23.77%
200,  汕尾市,294.5961234,344.98,-50.38387661,-17.10%
201,  河源市,291.478805,358.39,-66.91119502,-22.96%
202,  阳江市,239.6939013,282.81,-43.11609875,-17.99%
203,  清远市,384.1644073,413.47,-29.30559274,-7.63%
204,  中山市,252.3111878,149.18,103.1311878,40.87%
205,  潮州市,258.1558879,260.89,-2.734112081,-1.06%
206,  揭阳市,581.0806424,661.79,-80.70935762,-13.89%
207,  云浮市,244.630651,282.76,-38.12934903,-15.59%
208,  南宁市,702.6232535,707.37,-4.746746546,-0.68%
209,  柳州市,373.3500142,372.69,0.660014192,0.18%
210,  桂林市,483.1270029,518.96,-35.83299711,-7.42%
211,  梧州市,311.9953143,326.3,-14.30468573,-4.58%
212,  北海市,156.4521486,166.84,-10.38785141,-6.64%
213,  防城港市,85.98526728,91.24,-5.254732718,-6.11%
214,  贵港市,434.6477536,523.81,-89.16224643,-20.51%
215,  玉林市,559.755446,674.59,-114.834554,-20.52%
216,  百色市,356.3793954,405.62,-49.2406046,-13.82%
217,  贺州市,203.6131687,233.37,-29.75683128,-14.61%
218,  河池市,336.9301323,399.19,-62.25986774,-18.48%
219,  来宾市,220.4193478,260.1,-39.68065219,-18.00%
220,  崇左市,211.1441102,243.35,-32.20588979,-15.25%
221,  海口市,196.2294833,160.43,35.79948333,18.24%
222,  三亚市,49.54307237,57.01,-7.466927633,-15.07%
223,重庆市,2872.003189,3303.45,-431.4468111,-15.02%
224,  成都市,1144.368914,1149.07,-4.701086374,-0.41%
225,  自贡市,280.9721511,325.96,-44.98784887,-16.01%
226,  攀枝花市,123.2942657,111.38,11.91426575,9.66%
227,  泸州市,428.0804887,502.32,-74.23951132,-17.34%
228,  德阳市,363.6344583,389.15,-25.51554174,-7.02%
229,  绵阳市,478.8387274,541.87,-63.03127263,-13.16%
230,  广元市,273.9300426,310.89,-36.95995745,-13.49%
231,  遂宁市,341.5842185,381.43,-39.84578149,-11.66%
232,  内江市,383.020253,425.53,-42.50974698,-11.10%
233,  乐山市,323.5819922,353.35,-29.76800783,-9.20%
234,  南充市,626.5696337,751.72,-125.1503663,-19.97%
235,  眉山市,297.1326805,349.08,-51.94731949,-17.48%
236,  宜宾市,446.6112108,539.02,-92.40878917,-20.69%
237,  广安市,344.6396587,466.16,-121.5203413,-35.26%
238,  达州市,560.2154141,685.49,-125.2745859,-22.36%
239,  雅安市,152.519242,154.9,-2.380757971,-1.56%
240,  巴中市,325.9542817,388.01,-62.05571826,-19.04%
241,  资阳市,395.2785989,501.13,-105.8514011,-26.78%
242,  贵阳市,430.5243888,337.16,93.36438884,21.69%
243,  遵义市,614.066491,784.16,-170.093509,-27.70%
244,  昆明市,632.0029806,583.99,48.01298063,7.60%
245,  曲靖市,583.4279415,626.4,-42.97205848,-7.37%
246,  玉溪市,229.6480604,230.6,-0.951939628,-0.41%
247,  保山市,249.211195,252.7,-3.488805043,-1.40%
248,  昭通市,527.797581,574.24,-46.44241902,-8.80%
249,  丽江市,122.9353596,120.44,2.495359589,2.03%
250,  思茅市,258.8484975,254.6,4.248497496,1.64%
251,  临沧市,241.403093,243.18,-1.776906987,-0.74%
252,  西安市,845.4369996,782.73,62.70699956,7.42%
253,  铜川市,83.40767727,85.44,-2.03232273,-2.44%
254,  宝鸡市,373.6372684,381.09,-7.452731588,-1.99%
255,  咸阳市,488.8023313,520.09,-31.28766873,-6.40%
256,  渭南市,536.0688963,560.06,-23.99110368,-4.48%
257,  延安市,217.9710002,230.22,-12.24899978,-5.62%
258,  汉中市,346.8075117,381.53,-34.72248826,-10.01%
259,  榆林市,334.7309451,364.5,-29.76905488,-8.89%
260,  安康市,263.1662375,304.35,-41.18376247,-15.65%
261,  商洛市,234.1715128,244.83,-10.65848718,-4.55%
262,  兰州市,323.558411,323.54,0.018411009,0.01%
263,  嘉峪关市,22.0940006,21.8,0.294000599,1.33%
264,  金昌市,48.50539171,46.48,2.025391705,4.18%
265,  白银市,176.0082579,180.39,-4.381742081,-2.49%
266,  天水市,342.8048641,366.73,-23.92513588,-6.98%
267,  武威市,215.391771,191.26,24.13177102,11.20%
268,  张掖市,124.3792761,130.83,-6.450723934,-5.19%
269,  平凉市,220.7609482,231.82,-11.05905179,-5.01%
270,  酒泉市,102.3797584,97.95,4.429758354,4.33%
271,  庆阳市,221.1288029,259.18,-38.05119713,-17.21%
272,  定西市,294.1540347,300.38,-6.225965309,-2.12%
273,  陇南市,262.364101,281.78,-19.41589902,-7.40%
274,  西宁市,221.0074574,220.87,0.137457436,0.06%
275,  银川市,185.3137524,158.8,26.51375241,14.31%
276,  石嘴山市,72.54012098,74.82,-2.279879018,-3.14%
277,  固原市,151.3398312,152.53,-1.190168752,-0.79%
278,  中卫市,111.0471916,118.12,-7.072808412,-6.37%
279,  乌鲁木齐市,311.0009991,243.03,67.97099909,21.86%
280,  克拉玛依市,58.6020826,37.51,21.0920826,35.99%
